order_id,tanggal,tahun,pelanggan,lokasi,produk,jenis_material,profile_size,ketebalan_material,ukuran,jumlah_unit,jumlah_lubang,metode_hitung,harga_per_m2,harga_per_m,harga_per_lubang,upah_tenaga_ahli,finishing,kerumitan_desain,harga_final
ORD-00001,3/29/2020,2020,Bu Yani,Suradadi,Pintu Handerson,Hollow,4x4,0.8,4.73,1,0,PER-M2,800000,0,0,473000,Cat Biasa,Sederhana,3834000
ORD-00002,7/24/2024,2024,Kontraktor Budi,Margasari,Railing,Hollow,4x4,0.8,2.7,3,0,PER-M,0,500000,0,810000,Cat Biasa,Kompleks,4250000
ORD-00003,3/19/2021,2021,Bu Yani,Margasari,Pagar,Hollow Stainless,4x8,1.2,12.85,1,0,PER-M2,1300000,0,0,1927500,Tanpa Cat,Sederhana,16705000
ORD-00004,8/22/2023,2023,Bu Ningsih,Talang,Pintu Gerbang,Hollow Stainless,4x4,0.8,6.03,1,0,PER-M2,1300000,0,0,904500,Tanpa Cat,Kompleks,7989000
ORD-00005,12/10/2021,2021,Bu Wati,Balapulang,Pintu Handerson,Hollow,4x8,1.2,2.7,2,0,PER-M2,1000000,0,0,540000,Cat Biasa,Menengah,5550000
ORD-00006,7/30/2022,2022,Perumahan Tegal Asri,Jatinegara,Pintu Gerbang,Hollow Stainless,4x8,0.8,12.93,1,0,PER-M2,1350000,0,0,1939500,Tanpa Cat,Menengah,17555500
ORD-00007,6/21/2025,2025,Bu Yani,Jatinegara,Railing,Hollow Stainless,4x6,1.2,14,2,0,PER-M,0,1350000,0,4200000,Tanpa Cat,Sederhana,37800000
ORD-00008,1/23/2020,2020,Perumahan Tegal Asri,Jatinegara,Railing,Hollow,4x6,0.8,5.6,3,0,PER-M,0,450000,0,1680000,Cat Biasa,Sederhana,7610000
ORD-00009,5/29/2024,2024,Mas Andi,Jatinegara,Teralis,Pipa Stainless,1x3,1.2,0,1,18,PER-LUBANG,0,0,800000,2700000,Tanpa Cat,Menengah,14500000
ORD-00010,9/11/2022,2022,Muhidin,Margasari,Pagar,Hollow,4x6,0.8,26.03,1,0,PER-M2,580000,0,0,2603000,Cat Biasa,Sederhana,15147400
ORD-00011,10/25/2019,2019,Mas Malik,Suradadi,Teralis,Hollow Stainless,2x2,1.2,0,1,21,PER-LUBANG,0,0,750000,3150000,Tanpa Cat,Kompleks,15900000
ORD-00012,1/16/2024,2024,Mbak Tutik,Kramat,Pintu Gerbang,Hollow Stainless,4x8,1,13.79,1,0,PER-M2,1570000,0,0,2068500,Tanpa Cat,Sederhana,21650300
ORD-00013,8/1/2022,2022,Warung Makan Bu Tini,Slawi,Kanopi,Pipa Stainless,1.5inch,1,15.75,2,0,PER-M2,730000,0,0,6300000,Tanpa Cat,Sederhana,22995000
ORD-00014,8/23/2020,2020,Bu Umi,Talang,Teralis,Hollow,1x3,1,0,1,11,PER-LUBANG,0,0,350000,825000,Cat Dasar,Menengah,3950000
ORD-00015,2/21/2022,2022,Bu Ningsih,Lebaksiu,Kanopi,Hollow Stainless,4x6,0.8,10.65,1,0,PER-M2,830000,0,0,1597500,Tanpa Cat,Sederhana,8839500
ORD-00016,9/6/2020,2020,CV Griya Mandiri,Lebaksiu,Railing,Hollow Stainless,4x6,1.2,4.12,2,0,PER-M,0,1200000,0,1236000,Tanpa Cat,Sederhana,9888000
ORD-00017,4/21/2021,2021,Mas Budi,Jatinegara,Teralis,Hollow,2x2,0.8,0,1,6,PER-LUBANG,0,0,300000,450000,Cat Biasa,Sederhana,1850000
ORD-00018,9/29/2022,2022,Bu Yani,Slawi,Teralis,Pipa Stainless,1x3,1.2,0,1,20,PER-LUBANG,0,0,760000,3000000,Tanpa Cat,Kompleks,15350000
ORD-00019,3/18/2023,2023,Mbak Sri,Bojong,Teralis,Hollow,2x4,1.2,0,1,12,PER-LUBANG,0,0,450000,900000,Cat Biasa,Menengah,5550000
ORD-00020,3/9/2025,2025,Mas Joko,Slawi,Kanopi,Pipa Stainless,1.5inch,1.2,10.06,2,0,PER-M2,800000,0,0,4024000,Tanpa Cat,Sederhana,16096000
ORD-00021,8/5/2022,2022,BUMDES Bojong,Bojong,Pintu Gerbang,Hollow Stainless,4x6,1,12.16,1,0,PER-M2,1350000,0,0,1824000,Tanpa Cat,Sederhana,16416000
ORD-00022,9/12/2024,2024,Kontraktor Budi,Pagerbarang,Railing,Pipa Stainless,2inch,1.2,3,2,0,PER-M,0,1200000,0,1200000,Tanpa Cat,Sederhana,7200000
ORD-00023,3/30/2023,2023,Pak Warno,Pagerbarang,Kanopi,Hollow,4x4,1.2,23.62,2,0,PER-M2,520000,0,0,4724000,Cat Biasa,Menengah,24714800
ORD-00024,5/29/2022,2022,Bu Wati,Slawi,Pintu Handerson,Hollow,4x4,1.2,2.93,1,0,PER-M2,900000,0,0,293000,Cat Biasa,Menengah,2787000
ORD-00025,4/15/2025,2025,Bu Wati,Kramat,Teralis,Pipa Stainless,1x3,1,0,1,18,PER-LUBANG,0,0,750000,2700000,Tanpa Cat,Menengah,13600000
ORD-00026,12/18/2020,2020,Bu Siti,Kramat,Railing,Hollow Stainless,4x4,1.2,7.4,1,0,PER-M,0,1150000,0,1110000,Tanpa Cat,Sederhana,8510000
ORD-00027,1/8/2021,2021,Mbak Retno,Bojong,Kanopi,Pipa Stainless,1.5inch,1,15.85,1,0,PER-M2,710000,0,0,3170000,Tanpa Cat,Menengah,11353500
ORD-00028,6/18/2023,2023,Mbak Sri,Jatinegara,Kanopi,Pipa Stainless,1.5inch,1,10.4,1,0,PER-M2,750000,0,0,2080000,Tanpa Cat,Sederhana,7800000
ORD-00029,1/5/2020,2020,Bu Yatmi,Dukuhturi,Kanopi,Hollow,4x6,0.8,9.15,1,0,PER-M2,400000,0,0,915000,Cat Duco,Sederhana,3810000
ORD-00030,11/30/2023,2023,Mbak Tutik,Bojong,Pagar,Pipa Stainless,2inch,1,18.95,1,0,PER-M2,1090000,0,0,3790000,Tanpa Cat,Sederhana,20655500
ORD-00031,1/14/2019,2019,Pak Sugeng,Lengkong,Teralis,Hollow,1x3,1,0,1,17,PER-LUBANG,0,0,350000,1275000,Cat Duco,Menengah,6200000
ORD-00032,1/24/2020,2020,Pak Hadi,Talang,Railing,Hollow,4x4,1.2,9.58,3,0,PER-M,0,500000,0,2874000,Cat Biasa,Kompleks,14570000
ORD-00033,1/13/2023,2023,Pak Sugeng,Talang,Teralis,Pipa Stainless,1x3,0.8,0,1,11,PER-LUBANG,0,0,680000,1650000,Tanpa Cat,Menengah,7580000
ORD-00034,1/17/2023,2023,Mushola Al-Ikhlas,Jatinegara,Pintu Gerbang,Hollow Stainless,4x6,1,6.03,1,0,PER-M2,1400000,0,0,904500,Tanpa Cat,Menengah,8542000
ORD-00035,10/13/2020,2020,Mbak Retno,Dukuhturi,Teralis,Pipa Stainless,2x2,0.8,0,1,14,PER-LUBANG,0,0,620000,2100000,Tanpa Cat,Menengah,8780000
ORD-00036,4/21/2024,2024,Pak Hadi,Talang,Pintu Handerson,Hollow Stainless,4x6,1,2.06,1,0,PER-M2,1700000,0,0,309000,Tanpa Cat,Menengah,3602000
ORD-00037,11/20/2019,2019,Kontraktor Budi,Slawi,Railing,Hollow,4x4,0.8,8.12,1,0,PER-M,0,400000,0,812000,Cat Biasa,Sederhana,3298000
ORD-00038,5/12/2022,2022,Mas Rudi,Suradadi,Pagar,Hollow,4x6,0.8,24.02,1,0,PER-M2,580000,0,0,2402000,Cat Biasa,Menengah,14081600
ORD-00039,11/9/2020,2020,Mas Agus,Margasari,Kanopi,Hollow Stainless,4x6,1.2,23.45,2,0,PER-M2,850000,0,0,7035000,Tanpa Cat,Sederhana,39865000
ORD-00040,1/17/2022,2022,Bu Yani,Tarub,Teralis,Hollow Stainless,1x3,1,0,1,22,PER-LUBANG,0,0,830000,3300000,Tanpa Cat,Kompleks,18410000
ORD-00041,2/20/2025,2025,Mas Agus,Jatinegara,Teralis,Hollow,1x3,0.8,0,1,13,PER-LUBANG,0,0,350000,975000,Cat Biasa,Menengah,4700000
ORD-00042,1/9/2022,2022,BUMDES Bojong,Warureja,Pintu Gerbang,Pipa Stainless,2inch,0.8,10.88,1,0,PER-M2,1200000,0,0,2176000,Tanpa Cat,Menengah,13156000
ORD-00043,7/3/2024,2024,Pak Bambang,Lebaksiu,Kanopi,Pipa Stainless,2inch,1,23.43,2,0,PER-M2,850000,0,0,9372000,Tanpa Cat,Sederhana,39831000
ORD-00044,1/19/2019,2019,Toko Kelontong Berkah,Lengkong,Kanopi,Hollow Stainless,4x6,0.8,22.43,1,0,PER-M2,700000,0,0,3364500,Tanpa Cat,Menengah,15801000
ORD-00045,7/6/2022,2022,Mas Budi,Margasari,Kanopi,Pipa Stainless,1.5inch,1,10.14,1,0,PER-M2,730000,0,0,2028000,Tanpa Cat,Menengah,7502200
ORD-00046,3/27/2021,2021,Balai Desa Warureja,Balapulang,Pintu Gerbang,Pipa Stainless,2inch,1.2,13.53,1,0,PER-M2,1250000,0,0,2706000,Tanpa Cat,Menengah,17012500
ORD-00047,11/22/2025,2025,Pak Kasno,Jatinegara,Teralis,Pipa Stainless,1x3,0.8,0,1,17,PER-LUBANG,0,0,700000,2550000,Tanpa Cat,Menengah,12000000
ORD-00048,9/24/2025,2025,Bu Wati,Suradadi,Pintu Handerson,Hollow Stainless,4x6,0.8,4.92,1,0,PER-M2,1750000,0,0,738000,Tanpa Cat,Sederhana,8610000
ORD-00049,12/15/2024,2024,Mas Joko,Slawi,Kanopi,Hollow,4x6,1,11.28,1,0,PER-M2,550000,0,0,1128000,Cat Biasa,Menengah,6354000
ORD-00050,4/22/2024,2024,Bu Yani,Adiwerna,Railing,Hollow Stainless,4x4,1,6,2,0,PER-M,0,1230000,0,1800000,Tanpa Cat,Sederhana,14760000
ORD-00051,8/14/2022,2022,CV Bangun Jaya,Talang,Pintu Gerbang,Hollow Stainless,4x4,1.2,13.52,1,0,PER-M2,1350000,0,0,2028000,Tanpa Cat,Sederhana,18252000
ORD-00052,9/18/2019,2019,Bu Umi,Suradadi,Pagar,Pipa Stainless,2inch,1.2,14.59,1,0,PER-M2,1050000,0,0,2918000,Tanpa Cat,Menengah,15419500
ORD-00053,2/21/2019,2019,Pak Sutrisno,Warureja,Pintu Handerson,Pipa Stainless,2inch,0.8,4.11,1,0,PER-M2,1300000,0,0,822000,Tanpa Cat,Menengah,5443000
ORD-00054,2/5/2022,2022,Bu Ningsih,Bojong,Railing,Pipa Stainless,2inch,0.8,2.93,3,0,PER-M,0,1020000,0,1758000,Tanpa Cat,Sederhana,8965800
ORD-00055,3/3/2020,2020,Mbak Lina,Slawi,Pagar,Hollow,4x4,0.8,20.83,1,0,PER-M2,500000,0,0,2083000,Cat Dasar,Sederhana,10415000
ORD-00056,7/7/2021,2021,Mbak Tutik,Balapulang,Railing,Hollow Stainless,4x6,1,5.09,1,0,PER-M,0,1200000,0,763500,Tanpa Cat,Sederhana,6108000
ORD-00057,10/26/2021,2021,Pak Sugeng,Kramat,Pagar,Hollow,4x6,0.8,24.83,1,0,PER-M2,550000,0,0,2483000,Cat Duco,Sederhana,13806500
ORD-00058,8/20/2022,2022,Bu Endang,Bojong,Teralis,Hollow Stainless,1x3,1.2,0,1,5,PER-LUBANG,0,0,880000,750000,Tanpa Cat,Sederhana,4400000
ORD-00059,5/11/2020,2020,Bu Ningsih,Kramat,Pagar,Pipa Stainless,2inch,0.8,11.82,1,0,PER-M2,980000,0,0,2364000,Tanpa Cat,Sederhana,11583600
ORD-00060,11/11/2023,2023,Pak Kasno,Bojong,Kanopi,Hollow Stainless,4x6,1,11.94,1,0,PER-M2,900000,0,0,1791000,Tanpa Cat,Sederhana,10746000
ORD-00061,6/28/2025,2025,Pak Sugeng,Suradadi,Teralis,Pipa Stainless,1x3,1,0,1,21,PER-LUBANG,0,0,750000,3150000,Tanpa Cat,Kompleks,15900000
